heildekkjande,heildekkjande,ADJ,na
sparepengar,sparepengar,NOUN,Masc
trear,trear,NOUN,Masc
treningskampar,treningskamp,NOUN,Masc
sprøytestikk,sprøytestikk,NOUN,Neuter
dumba,dumbe,NOUN,Fem
vinningslovbrot,vinningslovbrot,NOUN,Neuter
overdraging,overdraging,NOUN,Fem
målskilnad,målskilnad,NOUN,Masc
bubilen,bubil,NOUN,Masc
koret,kor,NOUN,Neuter
skuletimar,skuletime,NOUN,Masc
slavehandel,slavehandel,NOUN,Masc
tredobling,tredobling,NOUN,Fem
kjøleskåp,kjøleskap,NOUN,Neuter
tannhjul,tannhjul,NOUN,Neuter
dørene,dør,NOUN,Fem
kommunikasjonssystemet,kommunikasjonssystem,NOUN,Neuter
operasjonsavdelinga,operasjonsavdeling,NOUN,Fem
kompromitterer,kompromittere,VERB,kompromittert
stjertmeisa,stjertmeis,NOUN,Fem
pakta,pakte,VERB,pakta
skibinding,skibinding,NOUN,Masc
bubilar,bubil,NOUN,Masc
grunnlov,grunnlov,NOUN,Masc
vermeldinga,vêrmelding,NOUN,Fem
vareomsetninga,vareomsetnad,NOUN,Masc
tekstilarbeidar,tekstilarbeidar,NOUN,Masc
kvalitetssikringa,kvalitetssikring,NOUN,Fem
korga,korg,NOUN,Fem
særlege,særleg,ADJ,na
skriftlesinga,skriftlesing,NOUN,Fem
leiarposisjonane,leiarposisjon,NOUN,Masc
tredd,tre,VERB,tredd
trena,trene,VERB,trent
trene,trene,VERB,trent
trend,trend,NOUN,Masc
elevrådet,elevråd,NOUN,Neuter
bæringen,bæring,NOUN,Masc
leidningsnettet,leidningsnett,NOUN,Neuter
språkstrid,språkstrid,NOUN,Masc
skjerme,skjerme,VERB,skjerma
skjerma,skjerme,VERB,skjerma
tingsrett,tingsrett,NOUN,Masc
karosseriverkstad,karosseriverkstad,NOUN,Masc
tilleggsopplysningar,tilleggsopplysning,NOUN,Fem
ombygginga,ombygging,NOUN,Fem
membranar,membran,NOUN,Masc
trent,trent,ADJ,na
definisjon,definisjon,NOUN,Masc
treng,trengje,VERB,trengt
jærbu,jærbu,NOUN,Masc
membranen,membran,NOUN,Masc
kyllingfiletar,kyllingfilet,NOUN,Masc
asylbarn,asylbarn,NOUN,Neuter
innteken,innteken,ADJ,na
korke,korke,VERB,korka
videoopptak,videoopptak,NOUN,Neuter
skjerpa,skjerpe,VERB,skjerpt
firkløver,firkløver,NOUN,Masc
skjerpe,skjerpe,VERB,skjerpt
korka,korke,VERB,korka
sportsklubben,sportsklubb,NOUN,Masc
terskel,terskel,NOUN,Masc
oppbygginga,oppbygging,NOUN,Fem
supermarknad,supermarknad,NOUN,Masc
skjerpt,skjerpe,VERB,skjerpt
svingradiusen,svingradius,NOUN,Masc
chilipeparen,chilipepar,NOUN,Masc
spotprisavtalane,spotprisavtale,NOUN,Masc
plastpose,plastpose,NOUN,Masc
treig,treg,ADJ,na
sommarleir,sommarleir,NOUN,Masc
ifylgje,ifølgje,ADP,na
innsparing,innsparing,NOUN,Fem
brytarane,brytar,NOUN,Masc
tredjeparten,tredjepart,NOUN,Masc
trekt,trakt,NOUN,Fem
sketsj,sketsj,NOUN,Masc
slåast,slå,VERB,slege
sovnar,sovne,VERB,sovna
korna,korne,VERB,korna
trekk,trekk,NOUN,Masc
grunnspel,grunnspel,NOUN,Neuter
pollenallergiar,pollenallergi,NOUN,Masc
vassborne,vassboren,ADJ,na
reiselysta,reiselyst,NOUN,Fem
arbeidsgivaravgifta,arbeidsgjevaravgift,NOUN,Fem
fjær,fjøre,VERB,fjøra
guterommet,guterom,NOUN,Neuter
flisa,flise,VERB,flisa
søkkande,søkkande,ADV,na
sjampis,sjampis,NOUN,Masc
skipsverfta,skipsverft,NOUN,Neuter
