Oljeplattformen,oljeplattform,NOUN,Masc
Oljeplattformer,oljeplattform,NOUN,Masc
Tysk,tysk,NOUN,Masc
Væpnede,væpne,VERB,na
kompisene,kompis,NOUN,Masc
frikjent,frikjenne,VERB,na
forhandlere,forhandler,NOUN,Masc
Inflasjon,inflasjon,NOUN,Masc
frasier,frasi,VERB,na
lynsjestemning,lynsjestemning,NOUN,Masc
Minste,liten,ADJ,na
alvorlig,alvorlig,ADJ,na
overtone,overtone,NOUN,Masc
allmennaksjeselskap,allmennaksjeselskap,NOUN,Neuter
posert,posere,VERB,na
Grønn,grønn,ADJ,na
framtidsrettet,framtidsrettet,ADJ,na
Tyst,tyst,ADJ,na
Samordner,samordne,VERB,na
Grønt,grønt,NOUN,Neuter
Samordnet,samordne,VERB,na
posere,posere,VERB,na
nylagt,nylagt,ADJ,na
bombarderte,bombardere,VERB,na
ELLER,eller,CCONJ,na
korps,korps,NOUN,Neuter
fødestuene,fødestue,NOUN,Masc
Gråvær,gråvær,NOUN,Neuter
ordførerkandidat,ordførerkandidat,NOUN,Masc
uregulert,uregulert,ADJ,na
Naturlig,naturlig,ADJ,na
nedvasking,nedvasking,NOUN,Masc
Katolsk,katolsk,ADJ,na
Kvant,kvant,NOUN,Neuter
Verdimessig,verdimessig,ADJ,na
innehadde,inneha,VERB,na
dimensjonerer,dimensjonere,VERB,na
dimensjoneres,dimensjonere,VERB,na
FRYSES,fryse,VERB,na
Konstituering,konstituering,NOUN,Masc
etnologisk,etnologisk,ADJ,na
sjanse,sjanse,VERB,na
tresnitt,tresnitt,NOUN,Neuter
Sjukehus,sykehus,NOUN,Neuter
Læreplanene,læreplan,NOUN,Masc
Kvalt,kvele,VERB,na
korte,korte,VERB,na
trygdeordningene,trygdeordning,NOUN,Fem
ankermannen,ankermann,NOUN,Masc
overrakte,overrekke,VERB,na
inneluft,inneluft,NOUN,Masc
olympiere,olympier,NOUN,Masc
strømmingene,strømming,NOUN,Masc
brannsjefen,brannsjef,NOUN,Masc
stimulert,stimulere,VERB,na
Snevrer,snevre,VERB,na
brannsjefer,brannsjef,NOUN,Masc
Hindu,hindu,NOUN,Masc
Kontrovers,kontrovers,NOUN,Masc
vårtegnet,vårtegn,NOUN,Neuter
høyesterett,høyesterett,NOUN,Masc
tørrmat,tørrmat,NOUN,Masc
Uaktuelt,uaktuell,ADJ,na
Kvart,kvart,NOUN,Masc
løsningsorientert,løsningsorientert,NOUN,na
arbeidsfolket,arbeidsfolk,NOUN,Neuter
uunnværlig,uunnværlig,ADJ,na
atomubåtene,atomubåt,NOUN,Masc
charteret,charter,NOUN,Neuter
Formidlingstjenester,formidlingstjeneste,NOUN,Masc
respektere,respektere,VERB,na
Tilstrømmingen,tilstrømming,NOUN,Fem
politivolden,politivold,NOUN,Masc
lisenshavere,lisenshaver,NOUN,Masc
respektert,respektere,VERB,na
Rettsvitenskap,rettsvitenskap,NOUN,Masc
stimulere,stimulere,VERB,na
protestaksjon,protestaksjon,NOUN,Masc
utenrettslig,utenrettslig,ADJ,na
albanere,albaner,NOUN,Masc
inngjerdede,inngjerde,VERB,na
trett,trøtt,ADJ,na
utrygghetsfølelse,utrygghetsfølelse,NOUN,Masc
Eksplosjonen,eksplosjon,NOUN,Masc
Sommertemperaturer,sommertemperatur,NOUN,Masc
Eksplosjoner,eksplosjon,NOUN,Masc
skattekort,skattekort,NOUN,Neuter
skråtaket,skråtak,NOUN,Neuter
grunnlag,grunnlag,NOUN,Neuter
filmen,film,NOUN,Masc
Snuoperasjon,snuoperasjon,NOUN,Masc
Urfremføring,urframføring,NOUN,Fem
Junioren,junior,NOUN,Masc
filmer,filme,VERB,na
filmes,filme,VERB,na
filmet,filme,VERB,na
georginer,georgine,NOUN,Masc
Naturlov,naturlov,NOUN,Masc
søskenbarn,søskenbarn,NOUN,Neuter
DIPP,dipp,NOUN,Masc
gateopptøyer,gateopptøyer,NOUN,Masc
dammene,dam,NOUN,Masc
slimhinnene,slimhinne,NOUN,Masc
abortsøkere,abortsøker,NOUN,Masc
kvinneundertrykkelse,kvinneundertrykkelse,NOUN,Masc
passasjertogene,passasjertog,NOUN,Neuter
nyetableringene,nyetablering,NOUN,Masc
kondolanse,kondolanse,NOUN,Masc
Galskap,galskap,NOUN,Masc
tøffet,tøffe,VERB,na
halvflaske,halvflaske,NOUN,Masc
Fabel,fabel,NOUN,Masc
Hinna,hinne,NOUN,Masc
mandeloljer,mandelolje,NOUN,Masc
Folkevalgte,folkevalgt,ADJ,na
Mintes,minnes,VERB,na
DITT,ditt,NOUN,Masc
Prestene,prest,NOUN,Masc
ekvator,ekvator,NOUN,Masc
tispene,tispe,NOUN,Fem
treer,treer,NOUN,Masc
treet,treete,ADJ,na
koran,koran,NOUN,Masc
utbytte,utbytte,VERB,na
gressbrann,gressbrann,NOUN,Masc
treningskampen,treningskamp,NOUN,Masc
treningskamper,treningskamp,NOUN,Masc
treff,treff,NOUN,Neuter
virale,viral,ADJ,na
kjellerleilighet,kjellerleilighet,NOUN,Masc
tregt,treg,ADJ,na
